"Other effects of air pressure and water pressure, sequela",T708
Unspecified complication of other transplanted tissue,T868
Unspecified complication of unspecified transplanted organ and tissue,T869
Unspecified transplanted organ and tissue rejection,T869
Unspecified transplanted organ and tissue failure,T869
Unspecified transplanted organ and tissue infection,T869
Other complications of unspecified transplanted organ and tissue,T869
Complications of reattached (part of) right upper extremity,T870
Complications of reattached (part of) left upper extremity,T870
Complications of reattached (part of) unspecified upper extremity,T870
Complications of reattached (part of) right lower extremity,T871
Complications of reattached (part of) left lower extremity,T871
Complications of reattached (part of) unspecified lower extremity,T871
Complications of other reattached body part,T872
"Neuroma of amputation stump, unspecified extremity",T873
"Neuroma of amputation stump, right upper extremity",T873
"Neuroma of amputation stump, left upper extremity",T873
"Neuroma of amputation stump, right lower extremity",T873
"Neuroma of amputation stump, left lower extremity",T873
"Infection of amputation stump, unspecified extremity",T874
"Infection of amputation stump, right upper extremity",T874
"Infection of amputation stump, left upper extremity",T874
"Infection of amputation stump, right lower extremity",T874
"Infection of amputation stump, left lower extremity",T874
"Necrosis of amputation stump, unspecified extremity",T875
"Necrosis of amputation stump, right upper extremity",T875
"Necrosis of amputation stump, left upper extremity",T875
"Necrosis of amputation stump, right lower extremity",T875
"Necrosis of amputation stump, left lower extremity",T875
Dehiscence of amputation stump,T878
Other complications of amputation stump,T878
Unspecified complications of amputation stump,T879
"Infection following immunization, initial encounter",T880
"Infection following immunization, subsequent encounter",T880
"Infection following immunization, sequela",T880
"Other complications following immunization, not elsewhere classified, initial encounter",T881
"Other complications following immunization, not elsewhere classified, subsequent encounter",T881
"Other complications following immunization, not elsewhere classified, sequela",T881
"Shock due to anesthesia, initial encounter",T882
"Shock due to anesthesia, subsequent encounter",T882
"Shock due to anesthesia, sequela",T882
"Malignant hyperthermia due to anesthesia, initial encounter",T883
"Malignant hyperthermia due to anesthesia, subsequent encounter",T883
"Malignant hyperthermia due to anesthesia, sequela",T883
"Failed or difficult intubation, initial encounter",T884
"Failed or difficult intubation, subsequent encounter",T884
"Failed or difficult intubation, sequela",T884
"Hypothermia following anesthesia, initial encounter",T885
"Hypothermia following anesthesia, subsequent encounter",T885
"Hypothermia following anesthesia, sequela",T885
"Failed moderate sedation during procedure, initial encounter",T885
"Failed moderate sedation during procedure, subsequent encounter",T885
"Failed moderate sedation during procedure, sequela",T885
"Other complications of anesthesia, initial encounter",T885
"Other complications of anesthesia, subsequent encounter",T885
"Other complications of anesthesia, sequela",T885
"Anaphylactic reaction due to adverse effect of correct drug or medicament properly administered, initial encounter",T886
"Anaphylactic reaction due to adverse effect of correct drug or medicament properly administered, subsequent encounter",T886
"Anaphylactic reaction due to adverse effect of correct drug or medicament properly administered, sequela",T886
"Unspecified adverse effect of drug or medicament, initial encounter",T887
"Unspecified adverse effect of drug or medicament, subsequent encounter",T887
"Unspecified adverse effect of drug or medicament, sequela",T887
"Other specified complications of surgical and medical care, not elsewhere classified, initial encounter",T888
"Other specified complications of surgical and medical care, not elsewhere classified, subsequent encounter",T888
"Other specified complications of surgical and medical care, not elsewhere classified, sequela",T888
"Complication of surgical and medical care, unspecified, initial encounter",T889
"Complication of surgical and medical care, unspecified, subsequent encounter",T889
"Complication of surgical and medical care, unspecified, sequela",T889
"Pedestrian on foot injured in collision with roller-skater, initial encounter",V000
"Pedestrian on foot injured in collision with roller-skater, subsequent encounter",V000
"Pedestrian on foot injured in collision with roller-skater, sequela",V000
"Pedestrian on foot injured in collision with skateboarder, initial encounter",V000
"Pedestrian on foot injured in collision with skateboarder, subsequent encounter",V000
"Pedestrian on foot injured in collision with skateboarder, sequela",V000
"Pedestrian on foot injured in collision with other pedestrian conveyance, initial encounter",V000
"Pedestrian on foot injured in collision with other pedestrian conveyance, subsequent encounter",V000
"Pedestrian on foot injured in collision with other pedestrian conveyance, sequela",V000
"Fall from in-line roller-skates, initial encounter",V001
"Fall from in-line roller-skates, subsequent encounter",V001
"Fall from in-line roller-skates, sequela",V001
"In-line roller-skater colliding with stationary object, initial encounter",V001
"In-line roller-skater colliding with stationary object, subsequent encounter",V001
"In-line roller-skater colliding with stationary object, sequela",V001
"Other in-line roller-skate accident, initial encounter",V001
"Other in-line roller-skate accident, subsequent encounter",V001
"Other in-line roller-skate accident, sequela",V001
"Fall from non-in-line roller-skates, initial encounter",V001
"Fall from non-in-line roller-skates, subsequent encounter",V001
"Fall from non-in-line roller-skates, sequela",V001
"Non-in-line roller-skater colliding with stationary object, initial encounter",V001
"Non-in-line roller-skater colliding with stationary object, subsequent encounter",V001
"Non-in-line roller-skater colliding with stationary object, sequela",V001
"Other non-in-line roller-skating accident, initial encounter",V001
"Other non-in-line roller-skating accident, subsequent encounter",V001
"Other non-in-line roller-skating accident, sequela",V001
"Fall from skateboard, initial encounter",V001
"Fall from skateboard, subsequent encounter",V001
"Fall from skateboard, sequela",V001
"Skateboarder colliding with stationary object, initial encounter",V001
"Skateboarder colliding with stationary object, subsequent encounter",V001
"Skateboarder colliding with stationary object, sequela",V001
"Other skateboard accident, initial encounter",V001
"Other skateboard accident, subsequent encounter",V001
"Other skateboard accident, sequela",V001
"Fall from scooter (nonmotorized), initial encounter",V001
"Fall from scooter (nonmotorized), subsequent encounter",V001
"Fall from scooter (nonmotorized), sequela",V001
"Scooter (nonmotorized) colliding with stationary object, initial encounter",V001
"Scooter (nonmotorized) colliding with stationary object, subsequent encounter",V001
"Scooter (nonmotorized) colliding with stationary object, sequela",V001
"Other scooter (nonmotorized) accident, initial encounter",V001
"Other scooter (nonmotorized) accident, subsequent encounter",V001
"Other scooter (nonmotorized) accident, sequela",V001
"Fall from heelies, initial encounter",V001
"Fall from heelies, subsequent encounter",V001
"Fall from heelies, sequela",V001
"Heelies colliding with stationary object, initial encounter",V001
"Heelies colliding with stationary object, subsequent encounter",V001
"Heelies colliding with stationary object, sequela",V001
"Other heelies accident, initial encounter",V001
"Other heelies accident, subsequent encounter",V001
"Other heelies accident, sequela",V001
"Fall from other rolling-type pedestrian conveyance, initial encounter",V001
"Fall from other rolling-type pedestrian conveyance, subsequent encounter",V001
"Fall from other rolling-type pedestrian conveyance, sequela",V001
"Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object, initial encounter",V001
"Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object, subsequent encounter",V001
"Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object, sequela",V001
"Other accident on other rolling-type pedestrian conveyance, initial encounter",V001
"Other accident on other rolling-type pedestrian conveyance, subsequent encounter",V001
"Other accident on other rolling-type pedestrian conveyance, sequela",V001
"Fall from ice-skates, initial encounter",V002
"Fall from ice-skates, subsequent encounter",V002
"Fall from ice-skates, sequela",V002
"Ice-skater colliding with stationary object, initial encounter",V002
"Ice-skater colliding with stationary object, subsequent encounter",V002
"Ice-skater colliding with stationary object, sequela",V002
"Other ice-skates accident, initial encounter",V002
"Other ice-skates accident, subsequent encounter",V002
"Other ice-skates accident, sequela",V002
"Fall from sled, initial encounter",V002
"Fall from sled, subsequent encounter",V002
"Fall from sled, sequela",V002
"Sledder colliding with stationary object, initial encounter",V002
"Sledder colliding with stationary object, subsequent encounter",V002
"Sledder colliding with stationary object, sequela",V002
"Other sled accident, initial encounter",V002
"Other sled accident, subsequent encounter",V002
"Other sled accident, sequela",V002
"Fall from other gliding-type pedestrian conveyance, initial encounter",V002
"Fall from other gliding-type pedestrian conveyance, subsequent encounter",V002
"Fall from other gliding-type pedestrian conveyance, sequela",V002
"Pedestrian on other gliding-type pedestrian conveyance colliding with stationary object, initial encounter",V002
"Pedestrian on other gliding-type pedestrian conveyance colliding with stationary object, subsequent encounter",V002
"Pedestrian on other gliding-type pedestrian conveyance colliding with stationary object, sequela",V002
"Other accident on other gliding-type pedestrian conveyance, initial encounter",V002
"Other accident on other gliding-type pedestrian conveyance, subsequent encounter",V002
"Other accident on other gliding-type pedestrian conveyance, sequela",V002
"Fall from snowboard, initial encounter",V003
"Fall from snowboard, subsequent encounter",V003
"Fall from snowboard, sequela",V003
"Snowboarder colliding with stationary object, initial encounter",V003
"Snowboarder colliding with stationary object, subsequent encounter",V003
"Snowboarder colliding with stationary object, sequela",V003
"Other snowboard accident, initial encounter",V003
"Other snowboard accident, subsequent encounter",V003
"Other snowboard accident, sequela",V003
"Fall from snow-skis, initial encounter",V003
"Fall from snow-skis, subsequent encounter",V003
"Fall from snow-skis, sequela",V003
"Snow-skier colliding with stationary object, initial encounter",V003
"Snow-skier colliding with stationary object, subsequent encounter",V003
"Snow-skier colliding with stationary object, sequela",V003
"Other snow-ski accident, initial encounter",V003
"Other snow-ski accident, subsequent encounter",V003
"Other snow-ski accident, sequela",V003
"Fall from other flat-bottomed pedestrian conveyance, initial encounter",V003
"Fall from other flat-bottomed pedestrian conveyance, subsequent encounter",V003
"Fall from other flat-bottomed pedestrian conveyance, sequela",V003
"Pedestrian on other flat-bottomed pedestrian conveyance colliding with stationary object, initial encounter",V003
"Pedestrian on other flat-bottomed pedestrian conveyance colliding with stationary object, subsequent encounter",V003
"Pedestrian on other flat-bottomed pedestrian conveyance colliding with stationary object, sequela",V003
"Other accident on other flat-bottomed pedestrian conveyance, initial encounter",V003
"Other accident on other flat-bottomed pedestrian conveyance, subsequent encounter",V003
"Other accident on other flat-bottomed pedestrian conveyance, sequela",V003
"Fall from moving wheelchair (powered), initial encounter",V008
"Fall from moving wheelchair (powered), subsequent encounter",V008
"Fall from moving wheelchair (powered), sequela",V008
"Wheelchair (powered) colliding with stationary object, initial encounter",V008
"Wheelchair (powered) colliding with stationary object, subsequent encounter",V008
"Wheelchair (powered) colliding with stationary object, sequela",V008
"Other accident with wheelchair (powered), initial encounter",V008
"Other accident with wheelchair (powered), subsequent encounter",V008
"Other accident with wheelchair (powered), sequela",V008
"Fall from babystroller, initial encounter",V008
"Fall from babystroller, subsequent encounter",V008
"Fall from babystroller, sequela",V008
"Babystroller colliding with stationary object, initial encounter",V008
"Babystroller colliding with stationary object, subsequent encounter",V008
"Babystroller colliding with stationary object, sequela",V008
"Other accident with babystroller, initial encounter",V008
"Other accident with babystroller, subsequent encounter",V008
"Other accident with babystroller, sequela",V008
"Fall from motorized mobility scooter, initial encounter",V008
"Fall from motorized mobility scooter, subsequent encounter",V008
"Fall from motorized mobility scooter, sequela",V008
"Motorized mobility scooter colliding with stationary object, initial encounter",V008
"Motorized mobility scooter colliding with stationary object, subsequent encounter",V008
"Motorized mobility scooter colliding with stationary object, sequela",V008
"Other accident with motorized mobility scooter, initial encounter",V008
"Other accident with motorized mobility scooter, subsequent encounter",V008
"Other accident with motorized mobility scooter, sequela",V008
"Fall from other pedestrian conveyance, initial encounter",V008
"Fall from other pedestrian conveyance, subsequent encounter",V008
"Fall from other pedestrian conveyance, sequela",V008
"Pedestrian on other pedestrian conveyance colliding with stationary object, initial encounter",V008
"Pedestrian on other pedestrian conveyance colliding with stationary object, subsequent encounter",V008
"Pedestrian on other pedestrian conveyance colliding with stationary object, sequela",V008
"Other accident on other pedestrian conveyance, initial encounter",V008
"Other accident on other pedestrian conveyance, subsequent encounter",V008
"Other accident on other pedestrian conveyance, sequela",V008
"Pedestrian on foot injured in collision with pedal cycle in nontraffic accident, initial encounter",V010
"Pedestrian on foot injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V010
"Pedestrian on foot injured in collision with pedal cycle in nontraffic accident, sequela",V010
"Pedestrian on roller-skates injured in collision with pedal cycle in nontraffic accident, initial encounter",V010
"Pedestrian on roller-skates injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V010
"Pedestrian on roller-skates injured in collision with pedal cycle in nontraffic accident, sequela",V010
"Pedestrian on skateboard injured in collision with pedal cycle in nontraffic accident, initial encounter",V010
"Pedestrian on skateboard injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V010
"Pedestrian on skateboard injured in collision with pedal cycle in nontraffic accident, sequela",V010
"Pedestrian with other conveyance injured in collision with pedal cycle in nontraffic accident, initial encounter",V010
"Pedestrian with other conveyance injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V010
"Pedestrian with other conveyance injured in collision with pedal cycle in nontraffic accident, sequela",V010
"Pedestrian on foot injured in collision with pedal cycle in traffic accident, initial encounter",V011
"Pedestrian on foot injured in collision with pedal cycle in traffic accident, subsequent encounter",V011
"Pedestrian on foot injured in collision with pedal cycle in traffic accident, sequela",V011
"Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, initial encounter",V011
"Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, subsequent encounter",V011
"Pedestrian on roller-skates injured in collision with pedal cycle in traffic accident, sequela",V011
"Pedestrian on skateboard injured in collision with pedal cycle in traffic accident, initial encounter",V011
"Pedestrian on skateboard injured in collision with pedal cycle in traffic accident, subsequent encounter",V011
"Pedestrian on skateboard injured in collision with pedal cycle in traffic accident, sequela",V011
"Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident, initial encounter",V011
"Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident, subsequent encounter",V011
"Pedestrian with other conveyance injured in collision with pedal cycle in traffic accident, sequela",V011
"Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter",V019
"Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter",V019
"Pedestrian on foot injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela",V019
"Pedestrian on roller-skates injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter",V019
"Pedestrian on roller-skates injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter",V019
"Pedestrian on roller-skates injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela",V019
"Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter",V019
"Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter",V019
"Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela",V019
"Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, initial encounter",V019
"Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, subsequent encounter",V019
"Pedestrian with other conveyance injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela",V019
"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",V020
"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter",V020
"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",V020
"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",V020
"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter",V020
"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",V020
"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",V020
"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter",V020
"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",V020
"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",V020
"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter",V020
"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",V020
"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter",V021
"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",V021
"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela",V021
"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter",V021
"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",V021
"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela",V021
"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter",V021
"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",V021
"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela",V021
"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter",V021
"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",V021
"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela",V021
"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V029
"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V029
"Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, sequela",V029
"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V029
"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V029
"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, sequela",V029
"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V029
"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V029
"Pedestrian on skateboard injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, sequela",V029
"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V029
"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V029
"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident, sequela",V029
"Pedestrian on foot injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter",V030
"Pedestrian on foot injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter",V030
"Pedestrian on foot injured in collision with car, pick-up truck or van in nontraffic accident, sequela",V030
"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter",V030
"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter",V030
"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in nontraffic accident, sequela",V030
"Pedestrian on skateboard injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter",V030
"Pedestrian on skateboard injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter",V030
"Pedestrian on skateboard injured in collision with car, pick-up truck or van in nontraffic accident, sequela",V030
"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter",V030
"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter",V030
"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in nontraffic accident, sequela",V030
"Pedestrian on foot injured in collision with car, pick-up truck or van in traffic accident, initial encounter",V031
"Pedestrian on foot injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",V031
"Pedestrian on foot injured in collision with car, pick-up truck or van in traffic accident, sequela",V031
"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in traffic accident, initial encounter",V031
"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",V031
"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in traffic accident, sequela",V031
"Pedestrian on skateboard injured in collision with car, pick-up truck or van in traffic accident, initial encounter",V031
"Pedestrian on skateboard injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",V031
"Pedestrian on skateboard injured in collision with car, pick-up truck or van in traffic accident, sequela",V031
"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in traffic accident, initial encounter",V031
"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",V031
"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in traffic accident, sequela",V031
"Pedestrian on foot injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, initial encounter",V039
"Pedestrian on foot injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, subsequent encounter",V039
"Pedestrian on foot injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, sequela",V039
"Pedestrian on roller-skates injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, initial encounter",V039
"Pedestrian on roller-skates injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, subsequent encounter",V039
"Pedestrian on roller-skates injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, sequela",V039
"Pedestrian on skateboard injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, initial encounter",V039
"Pedestrian on skateboard injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, subsequent encounter",V039
"Pedestrian on skateboard injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, sequela",V039
"Pedestrian with other conveyance injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, initial encounter",V039
"Pedestrian with other conveyance injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, subsequent encounter",V039
"Pedestrian with other conveyance injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, sequela",V039
"Pedestrian on foot injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",V040
"Pedestrian on foot injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",V040
"Pedestrian on foot injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",V040
"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",V040
"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",V040
"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",V040
"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",V040
"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",V040
"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",V040
"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",V040
"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",V040
"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",V040
"Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",V041
"Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",V041
"Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident, sequela",V041
"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",V041
"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",V041
"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus in traffic accident, sequela",V041
"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",V041
"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",V041
"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus in traffic accident, sequela",V041
"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",V041
"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",V041
"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in traffic accident, sequela",V041
"Pedestrian on foot injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, initial encounter",V049
"Pedestrian on foot injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, subsequent encounter",V049
"Pedestrian on foot injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, sequela",V049
"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, initial encounter",V049
"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, subsequent encounter",V049
"Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, sequela",V049
"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, initial encounter",V049
"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, subsequent encounter",V049
"Pedestrian on skateboard injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, sequela",V049
"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, initial encounter",V049
"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, subsequent encounter",V049
"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident, sequela",V049
"Pedestrian on foot injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter",V050
"Pedestrian on foot injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter",V050
"Pedestrian on foot injured in collision with railway train or railway vehicle in nontraffic accident, sequela",V050
"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter",V050
"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter",V050
"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in nontraffic accident, sequela",V050
"Pedestrian on skateboard injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter",V050
"Pedestrian on skateboard injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter",V050
"Pedestrian on skateboard injured in collision with railway train or railway vehicle in nontraffic accident, sequela",V050
"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter",V050
"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter",V050
"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in nontraffic accident, sequela",V050
"Pedestrian on foot injured in collision with railway train or railway vehicle in traffic accident, initial encounter",V051
"Pedestrian on foot injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V051
"Pedestrian on foot injured in collision with railway train or railway vehicle in traffic accident, sequela",V051
"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in traffic accident, initial encounter",V051
"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V051
"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in traffic accident, sequela",V051
"Pedestrian on skateboard injured in collision with railway train or railway vehicle in traffic accident, initial encounter",V051
"Pedestrian on skateboard injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V051
"Pedestrian on skateboard injured in collision with railway train or railway vehicle in traffic accident, sequela",V051
"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in traffic accident, initial encounter",V051
"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V051
"Pedestrian with other conveyance injured in collision with railway train or railway vehicle in traffic accident, sequela",V051
"Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V059
"Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V059
"Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela",V059
