Unspecified maternal infectious and parasitic disease complicating the puerperium,O989
"Avulsion of scalp, sequela",S080
"Complete traumatic amputation of right ear, initial encounter",S081
"Complete traumatic amputation of right ear, subsequent encounter",S081
"Complete traumatic amputation of right ear, sequela",S081
"Complete traumatic amputation of left ear, initial encounter",S081
"Complete traumatic amputation of left ear, subsequent encounter",S081
"Complete traumatic amputation of left ear, sequela",S081
"Complete traumatic amputation of unspecified ear, initial encounter",S081
"Complete traumatic amputation of unspecified ear, subsequent encounter",S081
"Complete traumatic amputation of unspecified ear, sequela",S081
"Partial traumatic amputation of right ear, initial encounter",S081
"Partial traumatic amputation of right ear, subsequent encounter",S081
"Partial traumatic amputation of right ear, sequela",S081
"Partial traumatic amputation of left ear, initial encounter",S081
"Partial traumatic amputation of left ear, subsequent encounter",S081
"Partial traumatic amputation of left ear, sequela",S081
"Partial traumatic amputation of unspecified ear, initial encounter",S081
"Partial traumatic amputation of unspecified ear, subsequent encounter",S081
"Partial traumatic amputation of unspecified ear, sequela",S081
"Complete traumatic amputation of nose, initial encounter",S088
"Complete traumatic amputation of nose, subsequent encounter",S088
"Complete traumatic amputation of nose, sequela",S088
"Partial traumatic amputation of nose, initial encounter",S088
"Partial traumatic amputation of nose, subsequent encounter",S088
"Partial traumatic amputation of nose, sequela",S088
"Traumatic amputation of other parts of head, initial encounter",S088
"Traumatic amputation of other parts of head, subsequent encounter",S088
"Traumatic amputation of other parts of head, sequela",S088
"Injury of blood vessels of head, not elsewhere classified, initial encounter",S090
"Injury of blood vessels of head, not elsewhere classified, subsequent encounter",S090
"Injury of blood vessels of head, not elsewhere classified, sequela",S090
"Unspecified injury of muscle and tendon of head, initial encounter",S091
"Unspecified injury of muscle and tendon of head, subsequent encounter",S091
"Unspecified injury of muscle and tendon of head, sequela",S091
"Strain of muscle and tendon of head, initial encounter",S091
"Strain of muscle and tendon of head, subsequent encounter",S091
"Strain of muscle and tendon of head, sequela",S091
"Laceration of muscle and tendon of head, initial encounter",S091
"Laceration of muscle and tendon of head, subsequent encounter",S091
"Laceration of muscle and tendon of head, sequela",S091
"Other specified injury of muscle and tendon of head, initial encounter",S091
"Other specified injury of muscle and tendon of head, subsequent encounter",S091
"Other specified injury of muscle and tendon of head, sequela",S091
"Traumatic rupture of unspecified ear drum, initial encounter",S092
"Traumatic rupture of unspecified ear drum, subsequent encounter",S092
"Traumatic rupture of unspecified ear drum, sequela",S092
"Traumatic rupture of right ear drum, initial encounter",S092
"Traumatic rupture of right ear drum, subsequent encounter",S092
"Traumatic rupture of right ear drum, sequela",S092
"Traumatic rupture of left ear drum, initial encounter",S092
"Traumatic rupture of left ear drum, subsequent encounter",S092
"Traumatic rupture of left ear drum, sequela",S092
"Unspecified injury of right middle and inner ear, initial encounter",S093
"Unspecified injury of right middle and inner ear, subsequent encounter",S093
"Unspecified injury of right middle and inner ear, sequela",S093
"Unspecified injury of left middle and inner ear, initial encounter",S093
"Unspecified injury of left middle and inner ear, subsequent encounter",S093
"Unspecified injury of left middle and inner ear, sequela",S093
"Unspecified injury of unspecified middle and inner ear, initial encounter",S093
"Unspecified injury of unspecified middle and inner ear, subsequent encounter",S093
"Unspecified injury of unspecified middle and inner ear, sequela",S093
"Primary blast injury of right ear, initial encounter",S093
"Primary blast injury of right ear, subsequent encounter",S093
"Primary blast injury of right ear, sequela",S093
"Primary blast injury of left ear, initial encounter",S093
"Primary blast injury of left ear, subsequent encounter",S093
"Primary blast injury of left ear, sequela",S093
"Primary blast injury of ear, bilateral, initial encounter",S093
"Primary blast injury of ear, bilateral, subsequent encounter",S093
"Primary blast injury of ear, bilateral, sequela",S093
"Primary blast injury of unspecified ear, initial encounter",S093
"Primary blast injury of unspecified ear, subsequent encounter",S093
"Primary blast injury of unspecified ear, sequela",S093
"Other specified injury of right middle and inner ear, initial encounter",S093
"Other specified injury of right middle and inner ear, subsequent encounter",S093
"Other specified injury of right middle and inner ear, sequela",S093
"Other specified injury of left middle and inner ear, initial encounter",S093
"Other specified injury of left middle and inner ear, subsequent encounter",S093
"Other specified injury of left middle and inner ear, sequela",S093
"Other specified injury of unspecified middle and inner ear, initial encounter",S093
"Other specified injury of unspecified middle and inner ear, subsequent encounter",S093
"Other specified injury of unspecified middle and inner ear, sequela",S093
"Other specified injuries of head, initial encounter",S098
"Other specified injuries of head, subsequent encounter",S098
"Other specified injuries of head, sequela",S098
"Unspecified injury of head, initial encounter",S099
"Unspecified injury of head, subsequent encounter",S099
"Unspecified injury of head, sequela",S099
"Unspecified injury of ear, initial encounter",S099
"Unspecified injury of ear, subsequent encounter",S099
"Unspecified injury of ear, sequela",S099
"Unspecified injury of nose, initial encounter",S099
"Unspecified injury of nose, subsequent encounter",S099
"Unspecified injury of nose, sequela",S099
"Unspecified injury of face, initial encounter",S099
"Unspecified injury of face, subsequent encounter",S099
"Unspecified injury of face, sequela",S099
"Contusion of throat, initial encounter",S100
"Contusion of throat, subsequent encounter",S100
"Contusion of throat, sequela",S100
"Unspecified superficial injuries of throat, initial encounter",S101
"Unspecified superficial injuries of throat, subsequent encounter",S101
"Unspecified superficial injuries of throat, sequela",S101
"Abrasion of throat, initial encounter",S101
"Abrasion of throat, subsequent encounter",S101
"Abrasion of throat, sequela",S101
"Blister (nonthermal) of throat, initial encounter",S101
"Blister (nonthermal) of throat, subsequent encounter",S101
"Blister (nonthermal) of throat, sequela",S101
"External constriction of part of throat, initial encounter",S101
"External constriction of part of throat, subsequent encounter",S101
"External constriction of part of throat, sequela",S101
"Superficial foreign body of throat, initial encounter",S101
"Superficial foreign body of throat, subsequent encounter",S101
"Superficial foreign body of throat, sequela",S101
"Insect bite (nonvenomous) of throat, initial encounter",S101
"Insect bite (nonvenomous) of throat, subsequent encounter",S101
"Insect bite (nonvenomous) of throat, sequela",S101
"Other superficial bite of throat, initial encounter",S101
"Other superficial bite of throat, subsequent encounter",S101
"Other superficial bite of throat, sequela",S101
"Unspecified superficial injury of other specified part of neck, initial encounter",S108
"Unspecified superficial injury of other specified part of neck, subsequent encounter",S108
"Unspecified superficial injury of other specified part of neck, sequela",S108
"Abrasion of other specified part of neck, initial encounter",S108
"Abrasion of other specified part of neck, subsequent encounter",S108
"Abrasion of other specified part of neck, sequela",S108
"Blister (nonthermal) of other specified part of neck, initial encounter",S108
"Blister (nonthermal) of other specified part of neck, subsequent encounter",S108
"Blister (nonthermal) of other specified part of neck, sequela",S108
"Contusion of other specified part of neck, initial encounter",S108
"Contusion of other specified part of neck, subsequent encounter",S108
"Contusion of other specified part of neck, sequela",S108
"External constriction of other specified part of neck, initial encounter",S108
"External constriction of other specified part of neck, subsequent encounter",S108
"External constriction of other specified part of neck, sequela",S108
"Superficial foreign body of other specified part of neck, initial encounter",S108
"Superficial foreign body of other specified part of neck, subsequent encounter",S108
"Superficial foreign body of other specified part of neck, sequela",S108
"Insect bite of other specified part of neck, initial encounter",S108
"Insect bite of other specified part of neck, subsequent encounter",S108
"Insect bite of other specified part of neck, sequela",S108
"Other superficial bite of other specified part of neck, initial encounter",S108
"Other superficial bite of other specified part of neck, subsequent encounter",S108
"Other superficial bite of other specified part of neck, sequela",S108
"Unspecified superficial injury of unspecified part of neck, initial encounter",S109
"Unspecified superficial injury of unspecified part of neck, subsequent encounter",S109
"Unspecified superficial injury of unspecified part of neck, sequela",S109
"Abrasion of unspecified part of neck, initial encounter",S109
"Abrasion of unspecified part of neck, subsequent encounter",S109
"Abrasion of unspecified part of neck, sequela",S109
"Blister (nonthermal) of unspecified part of neck, initial encounter",S109
"Blister (nonthermal) of unspecified part of neck, subsequent encounter",S109
"Blister (nonthermal) of unspecified part of neck, sequela",S109
"Contusion of unspecified part of neck, initial encounter",S109
"Contusion of unspecified part of neck, subsequent encounter",S109
"Contusion of unspecified part of neck, sequela",S109
"External constriction of unspecified part of neck, initial encounter",S109
"External constriction of unspecified part of neck, subsequent encounter",S109
"External constriction of unspecified part of neck, sequela",S109
"Superficial foreign body of unspecified part of neck, initial encounter",S109
"Superficial foreign body of unspecified part of neck, subsequent encounter",S109
"Superficial foreign body of unspecified part of neck, sequela",S109
"Insect bite of unspecified part of neck, initial encounter",S109
"Insect bite of unspecified part of neck, subsequent encounter",S109
"Insect bite of unspecified part of neck, sequela",S109
"Other superficial bite of unspecified part of neck, initial encounter",S109
"Other superficial bite of unspecified part of neck, subsequent encounter",S109
"Other superficial bite of unspecified part of neck, sequela",S109
"Laceration without foreign body of larynx, initial encounter",S110
"Laceration without foreign body of larynx, subsequent encounter",S110
"Laceration without foreign body of larynx, sequela",S110
"Laceration with foreign body of larynx, initial encounter",S110
"Laceration with foreign body of larynx, subsequent encounter",S110
"Laceration with foreign body of larynx, sequela",S110
"Puncture wound without foreign body of larynx, initial encounter",S110
"Puncture wound without foreign body of larynx, subsequent encounter",S110
"Puncture wound without foreign body of larynx, sequela",S110
"Puncture wound with foreign body of larynx, initial encounter",S110
"Puncture wound with foreign body of larynx, subsequent encounter",S110
"Puncture wound with foreign body of larynx, sequela",S110
"Open bite of larynx, initial encounter",S110
"Open bite of larynx, subsequent encounter",S110
"Open bite of larynx, sequela",S110
"Unspecified open wound of larynx, initial encounter",S110
"Unspecified open wound of larynx, subsequent encounter",S110
"Unspecified open wound of larynx, sequela",S110
"Laceration without foreign body of trachea, initial encounter",S110
"Laceration without foreign body of trachea, subsequent encounter",S110
"Laceration without foreign body of trachea, sequela",S110
"Laceration with foreign body of trachea, initial encounter",S110
"Laceration with foreign body of trachea, subsequent encounter",S110
"Laceration with foreign body of trachea, sequela",S110
"Puncture wound without foreign body of trachea, initial encounter",S110
"Puncture wound without foreign body of trachea, subsequent encounter",S110
"Puncture wound without foreign body of trachea, sequela",S110
"Puncture wound with foreign body of trachea, initial encounter",S110
"Puncture wound with foreign body of trachea, subsequent encounter",S110
"Puncture wound with foreign body of trachea, sequela",S110
"Open bite of trachea, initial encounter",S110
"Open bite of trachea, subsequent encounter",S110
"Open bite of trachea, sequela",S110
"Unspecified open wound of trachea, initial encounter",S110
"Unspecified open wound of trachea, subsequent encounter",S110
"Unspecified open wound of trachea, sequela",S110
"Laceration without foreign body of vocal cord, initial encounter",S110
"Laceration without foreign body of vocal cord, subsequent encounter",S110
"Laceration without foreign body of vocal cord, sequela",S110
"Laceration with foreign body of vocal cord, initial encounter",S110
"Laceration with foreign body of vocal cord, subsequent encounter",S110
"Laceration with foreign body of vocal cord, sequela",S110
"Puncture wound without foreign body of vocal cord, initial encounter",S110
"Puncture wound without foreign body of vocal cord, subsequent encounter",S110
"Puncture wound without foreign body of vocal cord, sequela",S110
"Puncture wound with foreign body of vocal cord, initial encounter",S110
"Puncture wound with foreign body of vocal cord, subsequent encounter",S110
"Puncture wound with foreign body of vocal cord, sequela",S110
"Open bite of vocal cord, initial encounter",S110
"Open bite of vocal cord, subsequent encounter",S110
"Open bite of vocal cord, sequela",S110
"Unspecified open wound of vocal cord, initial encounter",S110
"Unspecified open wound of vocal cord, subsequent encounter",S110
"Unspecified open wound of vocal cord, sequela",S110
"Unspecified open wound of thyroid gland, initial encounter",S111
"Unspecified open wound of thyroid gland, subsequent encounter",S111
"Unspecified open wound of thyroid gland, sequela",S111
"Laceration without foreign body of thyroid gland, initial encounter",S111
"Laceration without foreign body of thyroid gland, subsequent encounter",S111
"Laceration without foreign body of thyroid gland, sequela",S111
"Laceration with foreign body of thyroid gland, initial encounter",S111
"Laceration with foreign body of thyroid gland, subsequent encounter",S111
"Laceration with foreign body of thyroid gland, sequela",S111
"Puncture wound without foreign body of thyroid gland, initial encounter",S111
"Puncture wound without foreign body of thyroid gland, subsequent encounter",S111
"Puncture wound without foreign body of thyroid gland, sequela",S111
"Puncture wound with foreign body of thyroid gland, initial encounter",S111
"Puncture wound with foreign body of thyroid gland, subsequent encounter",S111
"Puncture wound with foreign body of thyroid gland, sequela",S111
"Open bite of thyroid gland, initial encounter",S111
"Open bite of thyroid gland, subsequent encounter",S111
"Open bite of thyroid gland, sequela",S111
"Unspecified open wound of pharynx and cervical esophagus, initial encounter",S112
"Unspecified open wound of pharynx and cervical esophagus, subsequent encounter",S112
"Unspecified open wound of pharynx and cervical esophagus, sequela",S112
"Laceration without foreign body of pharynx and cervical esophagus, initial encounter",S112
"Laceration without foreign body of pharynx and cervical esophagus, subsequent encounter",S112
"Laceration without foreign body of pharynx and cervical esophagus, sequela",S112
"Laceration with foreign body of pharynx and cervical esophagus, initial encounter",S112
"Laceration with foreign body of pharynx and cervical esophagus, subsequent encounter",S112
"Laceration with foreign body of pharynx and cervical esophagus, sequela",S112
"Puncture wound without foreign body of pharynx and cervical esophagus, initial encounter",S112
"Puncture wound without foreign body of pharynx and cervical esophagus, subsequent encounter",S112
"Puncture wound without foreign body of pharynx and cervical esophagus, sequela",S112
"Puncture wound with foreign body of pharynx and cervical esophagus, initial encounter",S112
"Puncture wound with foreign body of pharynx and cervical esophagus, subsequent encounter",S112
"Puncture wound with foreign body of pharynx and cervical esophagus, sequela",S112
"Open bite of pharynx and cervical esophagus, initial encounter",S112
"Open bite of pharynx and cervical esophagus, subsequent encounter",S112
"Open bite of pharynx and cervical esophagus, sequela",S112
"Unspecified open wound of other specified part of neck, initial encounter",S118
"Unspecified open wound of other specified part of neck, subsequent encounter",S118
"Unspecified open wound of other specified part of neck, sequela",S118
"Laceration without foreign body of other specified part of neck, initial encounter",S118
"Laceration without foreign body of other specified part of neck, subsequent encounter",S118
"Laceration without foreign body of other specified part of neck, sequela",S118
"Laceration with foreign body of other specified part of neck, initial encounter",S118
"Laceration with foreign body of other specified part of neck, subsequent encounter",S118
"Laceration with foreign body of other specified part of neck, sequela",S118
"Puncture wound without foreign body of other specified part of neck, initial encounter",S118
"Puncture wound without foreign body of other specified part of neck, subsequent encounter",S118
"Puncture wound without foreign body of other specified part of neck, sequela",S118
"Puncture wound with foreign body of other specified part of neck, initial encounter",S118
"Puncture wound with foreign body of other specified part of neck, subsequent encounter",S118
"Puncture wound with foreign body of other specified part of neck, sequela",S118
"Open bite of other specified part of neck, initial encounter",S118
"Open bite of other specified part of neck, subsequent encounter",S118
"Open bite of other specified part of neck, sequela",S118
"Other open wound of other specified part of neck, initial encounter",S118
"Other open wound of other specified part of neck, subsequent encounter",S118
"Other open wound of other specified part of neck, sequela",S118
"Unspecified open wound of unspecified part of neck, initial encounter",S119
"Unspecified open wound of unspecified part of neck, subsequent encounter",S119
"Unspecified open wound of unspecified part of neck, sequela",S119
"Laceration without foreign body of unspecified part of neck, initial encounter",S119
"Laceration without foreign body of unspecified part of neck, subsequent encounter",S119
"Laceration without foreign body of unspecified part of neck, sequela",S119
"Laceration with foreign body of unspecified part of neck, initial encounter",S119
"Laceration with foreign body of unspecified part of neck, subsequent encounter",S119
"Laceration with foreign body of unspecified part of neck, sequela",S119
"Puncture wound without foreign body of unspecified part of neck, initial encounter",S119
"Puncture wound without foreign body of unspecified part of neck, subsequent encounter",S119
"Puncture wound without foreign body of unspecified part of neck, sequela",S119
"Puncture wound with foreign body of unspecified part of neck, initial encounter",S119
"Puncture wound with foreign body of unspecified part of neck, subsequent encounter",S119
"Puncture wound with foreign body of unspecified part of neck, sequela",S119
"Open bite of unspecified part of neck, initial encounter",S119
"Open bite of unspecified part of neck, subsequent encounter",S119
"Open bite of unspecified part of neck, sequela",S119
"Unspecified displaced fracture of first cervical vertebra, initial encounter for closed fracture",S120
"Unspecified displaced fracture of first cervical vertebra, initial encounter for open fracture",S120
"Unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120
"Unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120
"Unspecified displaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120
"Unspecified displaced fracture of first cervical vertebra, sequela",S120
"Unspecified nondisplaced fracture of first cervical vertebra, initial encounter for closed fracture",S120
"Unspecified nondisplaced fracture of first cervical vertebra, initial encounter for open fracture",S120
"Unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120
"Unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120
"Unspecified nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120
"Unspecified nondisplaced fracture of first cervical vertebra, sequela",S120
"Stable burst fracture of first cervical vertebra, initial encounter for closed fracture",S120
"Stable burst fracture of first cervical vertebra, initial encounter for open fracture",S120
"Stable burst fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120
"Stable burst fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120
"Stable burst fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120
"Stable burst fracture of first cervical vertebra, sequela",S120
"Unstable burst fracture of first cervical vertebra, initial encounter for closed fracture",S120
"Unstable burst fracture of first cervical vertebra, initial encounter for open fracture",S120
"Unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120
"Unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120
"Unstable burst fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120
"Unstable burst fracture of first cervical vertebra, sequela",S120
"Displaced posterior arch fracture of first cervical vertebra, initial encounter for closed fracture",S120
"Displaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture",S120
"Displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120
"Displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120
"Displaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120
"Displaced posterior arch fracture of first cervical vertebra, sequela",S120
"Nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for closed fracture",S120
"Nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture",S120
"Nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120
"Nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120
"Nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120
"Nondisplaced posterior arch fracture of first cervical vertebra, sequela",S120
"Displaced lateral mass fracture of first cervical vertebra, initial encounter for closed fracture",S120
"Displaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture",S120
"Displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120
"Displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120
"Displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120
"Displaced lateral mass fracture of first cervical vertebra, sequela",S120
"Nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for closed fracture",S120
"Nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture",S120
"Nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120
"Nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120
"Nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120
"Nondisplaced lateral mass fracture of first cervical vertebra, sequela",S120
"Other displaced fracture of first cervical vertebra, initial encounter for closed fracture",S120
"Other displaced fracture of first cervical vertebra, initial encounter for open fracture",S120
"Other displaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120
"Other displaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120
"Other displaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120
"Other displaced fracture of first cervical vertebra, sequela",S120
"Other nondisplaced fracture of first cervical vertebra, initial encounter for closed fracture",S120
"Other nondisplaced fracture of first cervical vertebra, initial encounter for open fracture",S120
"Other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing",S120
"Other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing",S120
"Other nondisplaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion",S120
"Other nondisplaced fracture of first cervical vertebra, sequela",S120
"Unspecified displaced fracture of second cervical vertebra, initial encounter for closed fracture",S121
"Unspecified displaced fracture of second cervical vertebra, initial encounter for open fracture",S121
"Unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing",S121
"Unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121
"Unspecified displaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion",S121
"Unspecified displaced fracture of second cervical vertebra, sequela",S121
"Unspecified nondisplaced fracture of second cervical vertebra, initial encounter for closed fracture",S121
"Unspecified nondisplaced fracture of second cervical vertebra, initial encounter for open fracture",S121
"Unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing",S121
"Unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121
"Unspecified nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion",S121
"Unspecified nondisplaced fracture of second cervical vertebra, sequela",S121
"Anterior displaced Type II dens fracture, initial encounter for closed fracture",S121
"Anterior displaced Type II dens fracture, initial encounter for open fracture",S121
"Anterior displaced Type II dens fracture, subsequent encounter for fracture with routine healing",S121
"Anterior displaced Type II dens fracture, subsequent encounter for fracture with delayed healing",S121
"Anterior displaced Type II dens fracture, subsequent encounter for fracture with nonunion",S121
"Anterior displaced Type II dens fracture, sequela",S121
"Posterior displaced Type II dens fracture, initial encounter for closed fracture",S121
"Posterior displaced Type II dens fracture, initial encounter for open fracture",S121
"Posterior displaced Type II dens fracture, subsequent encounter for fracture with routine healing",S121
"Posterior displaced Type II dens fracture, subsequent encounter for fracture with delayed healing",S121
"Posterior displaced Type II dens fracture, subsequent encounter for fracture with nonunion",S121
"Posterior displaced Type II dens fracture, sequela",S121
"Nondisplaced Type II dens fracture, initial encounter for closed fracture",S121
"Nondisplaced Type II dens fracture, initial encounter for open fracture",S121
"Nondisplaced Type II dens fracture, subsequent encounter for fracture with routine healing",S121
"Nondisplaced Type II dens fracture, subsequent encounter for fracture with delayed healing",S121
"Nondisplaced Type II dens fracture, subsequent encounter for fracture with nonunion",S121
"Nondisplaced Type II dens fracture, sequela",S121
"Other displaced dens fracture, initial encounter for closed fracture",S121
"Other displaced dens fracture, initial encounter for open fracture",S121
"Other displaced dens fracture, subsequent encounter for fracture with routine healing",S121
"Other displaced dens fracture, subsequent encounter for fracture with delayed healing",S121
"Other displaced dens fracture, subsequent encounter for fracture with nonunion",S121
"Other displaced dens fracture, sequela",S121
"Other nondisplaced dens fracture, initial encounter for closed fracture",S121
"Other nondisplaced dens fracture, initial encounter for open fracture",S121
"Other nondisplaced dens fracture, subsequent encounter for fracture with routine healing",S121
"Other nondisplaced dens fracture, subsequent encounter for fracture with delayed healing",S121
"Other nondisplaced dens fracture, subsequent encounter for fracture with nonunion",S121
"Other nondisplaced dens fracture, sequela",S121
"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S121
"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S121
"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing",S121
"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121
"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion",S121
"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, sequela",S121
"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S121
"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S121
"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing",S121
"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121
"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion",S121
"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, sequela",S121
"Type III traumatic spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S121
"Type III traumatic spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S121
"Type III traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing",S121
"Type III traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121
"Type III traumatic spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion",S121
"Type III traumatic spondylolisthesis of second cervical vertebra, sequela",S121
"Other traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S121
"Other traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S121
"Other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing",S121
"Other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121
"Other traumatic displaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion",S121
"Other traumatic displaced spondylolisthesis of second cervical vertebra, sequela",S121
"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",S121
"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",S121
"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with routine healing",S121
"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121
"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion",S121
"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, sequela",S121
"Other displaced fracture of second cervical vertebra, initial encounter for closed fracture",S121
"Other displaced fracture of second cervical vertebra, initial encounter for open fracture",S121
"Other displaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing",S121
"Other displaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121
"Other displaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion",S121
"Other displaced fracture of second cervical vertebra, sequela",S121
"Other nondisplaced fracture of second cervical vertebra, initial encounter for closed fracture",S121
"Other nondisplaced fracture of second cervical vertebra, initial encounter for open fracture",S121
"Other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with routine healing",S121
"Other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with delayed healing",S121
"Other nondisplaced fracture of second cervical vertebra, subsequent encounter for fracture with nonunion",S121
"Other nondisplaced fracture of second cervical vertebra, sequela",S121
"Unspecified displaced fracture of third cervical vertebra, initial encounter for closed fracture",S122
"Unspecified displaced fracture of third cervical vertebra, initial encounter for open fracture",S122
"Unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing",S122
"Unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122
"Unspecified displaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion",S122
"Unspecified displaced fracture of third cervical vertebra, sequela",S122
"Unspecified nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture",S122
"Unspecified nondisplaced fracture of third cervical vertebra, initial encounter for open fracture",S122
"Unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing",S122
"Unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122
"Unspecified nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion",S122
"Unspecified nondisplaced fracture of third cervical vertebra, sequela",S122
"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S122
"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S122
"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing",S122
"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122
